Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",3/4/1957,92122,1945
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",7/1/1994,92380,1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",9/30/1982,93556,1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",6/7/2000,829224,1971
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",3/14/2003,93751,1792
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",12/22/2022,1022671,1993
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",12/23/2019,1757898,1985
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,1941
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/2015,1601712,2003
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",3/16/2017,883241,1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,96021,1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/2019,1283699,1994
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",3/19/2018,946581,1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",9/1/2004,1116132,2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",10/12/2022,1389170,2005
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",12/31/1976,27419,1902
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/2011,1385157,2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",6/22/2020,1094285,1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/2019,96943,1943
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",9/21/2020,97210,1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",12/21/2020,1318605,2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978,217346,1923
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/2004,97745,2006 (1902)
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,109198,1987
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,916365,1938
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",11/17/2010,1466258,1871
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,1260221,1993
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",8/21/2002,86312,1853
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1/21/2021,864749,1978
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",12/4/1997,92230,1872
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",6/22/2020,860731,1966
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",8/10/2005,100493,1935
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,74208,1972
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,1403568,1990
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",3/4/1957,100885,1862
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",9/3/2015,100517,1967
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/2002,1090727,1907
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1067701,1997
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,731766,1977
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,352915,1979
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",12/20/2002,1035002,1980
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,740260,1998
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,1014473,1995
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015,1442145,1971
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",11/30/1983,732712,1983 (1877)
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/2013,875320,1989
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",6/30/1979,103379,1899
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/2004,1792044,1961
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",6/8/2022,1705696,2017
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",12/21/2009,1403161,1958
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",6/30/1999,1396009,1909
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2/27/2019,943452,1999 (1869)
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,1618921,2014
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",8/31/1982,104169,1962
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",4/11/2022,1437107,2022
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",1/2/2002,1000697,1958
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/2008,783325,1896
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/1976,72971,1852
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/2009,766704,1970
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/2020,105770,1923
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/2009,106040,1970
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",3/4/1957,1732845,2015
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",,106535,1900
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/1975,107263,1908
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/2016,1140536,2016
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",6/30/1981,277135,1927
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/2008,1174922,2002
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/1957,72903,1909
